facebook.com,5,5,0.0,0,4.198,10.776,18.228,4.625,0.0,0
facebook,5,5,0.0,0,3.467,11.999,21.77,7.418,0.0,0
facebook,5,5,0.0,0,3.484,13.418,21.367,8.065,0.0,0
facebook,5,5,0.0,0,3.269,12.124,20.048,7.248,0.0,0
facebook,5,5,0.0,0,4.575,14.457,21.438,5.758,0.0,0
facebook,5,5,0.0,0,4.099,11.457,19.973,6.322,0.0,0
facebook,5,5,0.0,0,10.638,17.235,29.742,6.519,0.0,0
facebook,5,5,0.0,0,4.166,11.09,15.854,4.607,0.0,0
facebook,5,5,0.0,0,4.166,13.595,23.563,8.197,0.0,0
facebook,5,5,0.0,0,7.399,17.113,28.482,6.961,0.0,0
